time,original,filtered
0.393000,-1.102910,0.744215
0.394000,-1.426585,0.875240
0.395000,-1.000000,0.918888
0.396000,-0.475528,0.872588
0.397000,-0.515124,0.742576
0.398000,-0.881678,0.540928
0.399000,-0.784545,0.285278
0.400000,0.000000,-0.000000
0.401000,0.784545,-0.285278
0.402000,0.881678,-0.540928
0.403000,0.515124,-0.742576
0.404000,0.475528,-0.872588
0.405000,1.000000,-0.918888
0.406000,1.426585,-0.875240
0.407000,1.102910,-0.744215
0.408000,0.293893,-0.539289
0.409000,-0.166511,-0.282626
0.410000,-0.000000,0.000000
0.411000,0.166511,0.282626
0.412000,-0.293893,0.539289
0.413000,-1.102910,0.744215
0.414000,-1.426585,0.875240
0.415000,-1.000000,0.918888
0.416000,-0.475528,0.872588
0.417000,-0.515124,0.742576
0.418000,-0.881678,0.540928
0.419000,-0.784545,0.285278
0.420000,0.000000,0.000000
0.421000,0.784545,-0.285278
0.422000,0.881678,-0.540928
0.423000,0.515124,-0.742576
0.424000,0.475528,-0.872588
0.425000,1.000000,-0.918888
0.426000,1.426585,-0.875240
0.427000,1.102910,-0.744215
0.428000,0.293893,-0.539289
0.429000,-0.166511,-0.282626
0.430000,-0.000000,-0.000000
0.431000,0.166511,0.282626
0.432000,-0.293893,0.539289
0.433000,-1.102910,0.744215
0.434000,-1.426585,0.875240
0.435000,-1.000000,0.918888
0.436000,-0.475528,0.872588
0.437000,-0.515124,0.742576
0.438000,-0.881678,0.540928
0.439000,-0.784545,0.285278
0.440000,0.000000,0.000000
0.441000,0.784545,-0.285278
0.442000,0.881678,-0.540928
0.443000,0.515124,-0.742576
0.444000,0.475528,-0.872588
0.445000,1.000000,-0.918888
0.446000,1.426585,-0.875240
0.447000,1.102910,-0.744215
0.448000,0.293893,-0.539289
0.449000,-0.166511,-0.282626
0.450000,-0.000000,0.000000
0.451000,0.166511,0.282626
0.452000,-0.293893,0.539289
0.453000,-1.102910,0.744215
0.454000,-1.426585,0.875240
0.455000,-1.000000,0.918888
0.456000,-0.475528,0.872588
0.457000,-0.515124,0.742576
0.458000,-0.881678,0.540928
0.459000,-0.784545,0.285278
0.460000,0.000000,-0.000000
0.461000,0.784545,-0.285278
0.462000,0.881678,-0.540928
0.463000,0.515124,-0.742576
0.464000,0.475528,-0.872588
0.465000,1.000000,-0.918888
0.466000,1.426585,-0.875240
0.467000,1.102910,-0.744215
0.468000,0.293893,-0.539289
0.469000,-0.166511,-0.282626
0.470000,0.000000,0.000000
0.471000,0.166511,0.282626
0.472000,-0.293893,0.539289
0.473000,-1.102910,0.744215
0.474000,-1.426585,0.875240
0.475000,-1.000000,0.918888
0.476000,-0.475528,0.872588
0.477000,-0.515124,0.742576
0.478000,-0.881678,0.540928
0.479000,-0.784545,0.285278
0.480000,-0.000000,0.000000
0.481000,0.784545,-0.285278
0.482000,0.881678,-0.540928
0.483000,0.515124,-0.742576
0.484000,0.475528,-0.872588
0.485000,1.000000,-0.918888
0.486000,1.426585,-0.875240
0.487000,1.102910,-0.744215
0.488000,0.293893,-0.539289
0.489000,-0.166511,-0.282626
0.490000,0.000000,-0.000000
0.491000,0.166511,0.282626
0.492000,-0.293893,0.539289
0.493000,-1.102910,0.744215
0.494000,-1.426585,0.875240
0.495000,-1.000000,0.918888
0.496000,-0.475528,0.872588
0.497000,-0.515124,0.742576
0.498000,-0.881678,0.540928
0.499000,-0.784545,0.285278
0.500000,0.000000,0.000000
0.501000,0.784545,-0.285278
0.502000,0.881678,-0.540928
0.503000,0.515124,-0.742576
0.504000,0.475528,-0.872588
0.505000,1.000000,-0.918888
0.506000,1.426585,-0.875240
0.507000,1.102910,-0.744215
0.508000,0.293893,-0.539289
0.509000,-0.166511,-0.282626
0.510000,-0.000000,0.000000
0.511000,0.166511,0.282626
0.512000,-0.293893,0.539289
0.513000,-1.102910,0.744215
0.514000,-1.426585,0.875240
0.515000,-1.000000,0.918888
0.516000,-0.475528,0.872588
0.517000,-0.515124,0.742576
0.518000,-0.881678,0.540928
0.519000,-0.784545,0.285278
0.520000,0.000000,-0.000000
0.521000,0.784545,-0.285278
0.522000,0.881678,-0.540928
0.523000,0.515124,-0.742576
0.524000,0.475528,-0.872588
0.525000,1.000000,-0.918888
0.526000,1.426585,-0.875240
0.527000,1.102910,-0.744215
0.528000,0.293893,-0.539289
0.529000,-0.166511,-0.282626
0.530000,-0.000000,0.000000
0.531000,0.166511,0.282626
0.532000,-0.293893,0.539289
0.533000,-1.102910,0.744215
0.534000,-1.426585,0.875240
0.535000,-1.000000,0.918888
0.536000,-0.475528,0.872588
0.537000,-0.515124,0.742576
0.538000,-0.881678,0.540928
0.539000,-0.784545,0.285278
0.540000,0.000000,-0.000000
0.541000,0.784545,-0.285278
0.542000,0.881678,-0.540928
0.543000,0.515124,-0.742576
0.544000,0.475528,-0.872588
0.545000,1.000000,-0.918888
0.546000,1.426585,-0.875240
0.547000,1.102910,-0.744215
0.548000,0.293893,-0.539289
0.549000,-0.166511,-0.282626
0.550000,0.000000,0.000000
0.551000,0.166511,0.282626
0.552000,-0.293893,0.539289
0.553000,-1.102910,0.744215
0.554000,-1.426585,0.875240
0.555000,-1.000000,0.918888
0.556000,-0.475528,0.872588
0.557000,-0.515124,0.742576
0.558000,-0.881678,0.540928
0.559000,-0.784545,0.285278
0.560000,0.000000,-0.000000
0.561000,0.784545,-0.285278
0.562000,0.881678,-0.540928
0.563000,0.515124,-0.742576
0.564000,0.475528,-0.872588
0.565000,1.000000,-0.918888
0.566000,1.426585,-0.875240
0.567000,1.102910,-0.744215
0.568000,0.293893,-0.539289
0.569000,-0.166511,-0.282626
0.570000,-0.000000,0.000000
0.571000,0.166511,0.282626
0.572000,-0.293893,0.539289
0.573000,-1.102910,0.744215
0.574000,-1.426585,0.875240
0.575000,-1.000000,0.918888
0.576000,-0.475528,0.872588
0.577000,-0.515124,0.742576
0.578000,-0.881678,0.540928
0.579000,-0.784545,0.285278
0.580000,0.000000,0.000000
0.581000,0.784545,-0.285278
0.582000,0.881678,-0.540928
0.583000,0.515124,-0.742576
0.584000,0.475528,-0.872588
0.585000,1.000000,-0.918888
0.586000,1.426585,-0.875240
0.587000,1.102910,-0.744215
0.588000,0.293893,-0.539289
0.589000,-0.166511,-0.282626
0.590000,-0.000000,-0.000000
0.591000,0.166511,0.282626
0.592000,-0.293893,0.539289
0.593000,-1.102910,0.744215
0.594000,-1.426585,0.875240
0.595000,-1.000000,0.918888
0.596000,-0.475528,0.872588
0.597000,-0.515124,0.742576
0.598000,-0.881678,0.540928
0.599000,-0.784545,0.285278
0.600000,0.000000,0.000000
0.601000,0.784545,-0.285278
0.602000,0.881678,-0.540928
0.603000,0.515124,-0.742576
0.604000,0.475528,-0.872588
0.605000,1.000000,-0.918888
0.606000,1.426585,-0.875240
0.607000,1.102910,-0.744215
0.608000,0.293893,-0.539289
0.609000,-0.166511,-0.282626
0.610000,-0.000000,0.000000
0.611000,0.166511,0.282626
0.612000,-0.293893,0.539289
0.613000,-1.102910,0.744215
0.614000,-1.426585,0.875240
0.615000,-1.000000,0.918888
0.616000,-0.475528,0.872588
0.617000,-0.515124,0.742576
0.618000,-0.881678,0.540928
0.619000,-0.784545,0.285278
0.620000,0.000000,0.000000
0.621000,0.784545,-0.285278
0.622000,0.881678,-0.540928
0.623000,0.515124,-0.742576
0.624000,0.475528,-0.872588
0.625000,1.000000,-0.918888
0.626000,1.426585,-0.875240
0.627000,1.102910,-0.744215
0.628000,0.293893,-0.539289
0.629000,-0.166511,-0.282626
0.630000,0.000000,0.000000
0.631000,0.166511,0.282626
0.632000,-0.293893,0.539289
0.633000,-1.102910,0.744215
0.634000,-1.426585,0.875240
0.635000,-1.000000,0.918888
0.636000,-0.475528,0.872588
0.637000,-0.515124,0.742576
0.638000,-0.881678,0.540928
0.639000,-0.784545,0.285278
0.640000,-0.000000,-0.000000
0.641000,0.784545,-0.285278
0.642000,0.881678,-0.540928
0.643000,0.515124,-0.742576
0.644000,0.475528,-0.872588
0.645000,1.000000,-0.918888
0.646000,1.426585,-0.875240
0.647000,1.102910,-0.744215
0.648000,0.293893,-0.539289
0.649000,-0.166511,-0.282626
0.650000,0.000000,-0.000000
0.651000,0.166511,0.282626
0.652000,-0.293893,0.539289
0.653000,-1.102910,0.744215
0.654000,-1.426585,0.875240
0.655000,-1.000000,0.918888
0.656000,-0.475528,0.872588
0.657000,-0.515124,0.742576
0.658000,-0.881678,0.540928
0.659000,-0.784545,0.285278
0.660000,-0.000000,-0.000000
0.661000,0.784545,-0.285278
0.662000,0.881678,-0.540928
0.663000,0.515124,-0.742576
0.664000,0.475528,-0.872588
0.665000,1.000000,-0.918888
0.666000,1.426585,-0.875240
0.667000,1.102910,-0.744215
0.668000,0.293893,-0.539289
0.669000,-0.166511,-0.282626
0.670000,0.000000,0.000000
0.671000,0.166511,0.282626
0.672000,-0.293893,0.539289
0.673000,-1.102910,0.744215
0.674000,-1.426585,0.875240
0.675000,-1.000000,0.918888
0.676000,-0.475528,0.872588
0.677000,-0.515124,0.742576
0.678000,-0.881678,0.540928
0.679000,-0.784545,0.285278
0.680000,0.000000,-0.000000
0.681000,0.784545,-0.285278
0.682000,0.881678,-0.540928
0.683000,0.515124,-0.742576
0.684000,0.475528,-0.872588
0.685000,1.000000,-0.918888
0.686000,1.426585,-0.875240
0.687000,1.102910,-0.744215
0.688000,0.293893,-0.539289
0.689000,-0.166511,-0.282626
0.690000,-0.000000,0.000000
0.691000,0.166511,0.282626
0.692000,-0.293893,0.539289
0.693000,-1.102910,0.744215
0.694000,-1.426585,0.875240
0.695000,-1.000000,0.918888
0.696000,-0.475528,0.872588
0.697000,-0.515124,0.742576
0.698000,-0.881678,0.540928
0.699000,-0.784545,0.285278
0.700000,-0.000000,0.000000
0.701000,0.784545,-0.285278
0.702000,0.881678,-0.540928
0.703000,0.515124,-0.742576
0.704000,0.475528,-0.872588
0.705000,1.000000,-0.918888
0.706000,1.426585,-0.875240
0.707000,1.102910,-0.744215
0.708000,0.293893,-0.539289
0.709000,-0.166511,-0.282626
0.710000,0.000000,-0.000000
0.711000,0.166511,0.282626
0.712000,-0.293893,0.539289
0.713000,-1.102910,0.744215
0.714000,-1.426585,0.875240
0.715000,-1.000000,0.918888
0.716000,-0.475528,0.872588
0.717000,-0.515124,0.742576
0.718000,-0.881678,0.540928
0.719000,-0.784545,0.285278
0.720000,-0.000000,0.000000
0.721000,0.784545,-0.285278
0.722000,0.881678,-0.540928
0.723000,0.515124,-0.742576
0.724000,0.475528,-0.872588
0.725000,1.000000,-0.918888
0.726000,1.426585,-0.875240
0.727000,1.102910,-0.744215
0.728000,0.293893,-0.539289
0.729000,-0.166511,-0.282626
0.730000,0.000000,0.000000
0.731000,0.166511,0.282626
0.732000,-0.293893,0.539289
0.733000,-1.102910,0.744215
0.734000,-1.426585,0.875240
0.735000,-1.000000,0.918888
0.736000,-0.475528,0.872588
0.737000,-0.515124,0.742576
0.738000,-0.881678,0.540928
0.739000,-0.784545,0.285278
0.740000,-0.000000,0.000000
0.741000,0.784545,-0.285278
0.742000,0.881678,-0.540928
0.743000,0.515124,-0.742576
0.744000,0.475528,-0.872588
0.745000,1.000000,-0.918888
0.746000,1.426585,-0.875240
0.747000,1.102910,-0.744215
0.748000,0.293893,-0.539289
0.749000,-0.166511,-0.282626
0.750000,-0.000000,-0.000000
0.751000,0.166511,0.282626
0.752000,-0.293893,0.539289
0.753000,-1.102910,0.744215
0.754000,-1.426585,0.875240
0.755000,-1.000000,0.918888
0.756000,-0.475528,0.872588
0.757000,-0.515124,0.742576
0.758000,-0.881678,0.540928
0.759000,-0.784545,0.285278
0.760000,0.000000,-0.000000
0.761000,0.784545,-0.285278
0.762000,0.881678,-0.540928
0.763000,0.515124,-0.742576
0.764000,0.475528,-0.872588
0.765000,1.000000,-0.918888
0.766000,1.426585,-0.875240
0.767000,1.102910,-0.744215
0.768000,0.293893,-0.539289
0.769000,-0.166511,-0.282626
0.770000,-0.000000,0.000000
0.771000,0.166511,0.282626
0.772000,-0.293893,0.539289
0.773000,-1.102910,0.744215
0.774000,-1.426585,0.875240
0.775000,-1.000000,0.918888
0.776000,-0.475528,0.872588
0.777000,-0.515124,0.742576
0.778000,-0.881678,0.540928
0.779000,-0.784545,0.285278
0.780000,0.000000,-0.000000
0.781000,0.784545,-0.285278
0.782000,0.881678,-0.540928
0.783000,0.515124,-0.742576
0.784000,0.475528,-0.872588
0.785000,1.000000,-0.918888
0.786000,1.426585,-0.875240
0.787000,1.102910,-0.744215
0.788000,0.293893,-0.539289
0.789000,-0.166511,-0.282626
0.790000,0.000000,0.000000
0.791000,0.166511,0.282626
0.792000,-0.293893,0.539289
0.793000,-1.102910,0.744215
0.794000,-1.426585,0.875240
0.795000,-1.000000,0.918888
0.796000,-0.475528,0.872588
0.797000,-0.515124,0.742576
